id,franking_percentage,notes,payable_date,dividend_per_share,ex_dividend_date,dividend_date,symbol,divident_type
,1,1.5C FRANKED @27.5%;  DRP,2018-05-24,0.015,2018-05-03,2018-05-04,CBC,Interim
,0,"18C SPECIAL; UNFRANK ED, NIL CFI",2017-11-21,0.18,2017-11-13,2017-11-14,CD1,Interim
,0,23C SPECIAL,2017-11-21,0.23,2017-11-13,2017-11-14,CD2,Interim
,1,4C FRANKED @ 30%; DR P,2017-09-18,0.04,2017-09-08,2017-09-11,CDM,Final
,1,4C FRANKED @ 30%; DR P,2018-04-23,0.04,2018-04-09,2018-04-10,CDM,Interim
,0.05,1.028579C FR@30%; 7. 551331C TAX DEF,2017-08-31,0.201,2017-06-29,2017-06-30,CDP,Final
,0,,2018-02-28,0.201,2017-12-28,2017-12-29,CDP,Interim
,0,DRP SUSPENDED,2017-08-31,0.156,2017-06-29,2017-06-30,CHC,Final
,0.4,6.2C FRANKED@30%;9.4 C TAX DEF; DRP SUSP,2018-02-28,0.156,2017-12-28,2017-12-29,CHC,Interim
,0.5,1.75C FRANKED @ 30%;  NIL CFI; DRP,2017-10-05,0.035,2017-09-25,2017-09-26,CIE,Final
,0.5,0.8C FRANKED @ 30%;  NIL CFI; DRP,2017-12-21,0.016,2017-12-11,2017-12-12,CIE,Interim
,0.5,0.8C FRANKED @ 30%;  NIL CFI; DRP,2018-04-20,0.016,2018-04-10,2018-04-11,CIE,Interim
,1,68C FRANKED @30%; DR P SUSPENDED,2017-09-25,0.68,2017-08-31,2017-09-01,CIN,Final
,1,51C FRANKED @30%; DR P SUSPENDED,2018-03-20,0.51,2018-02-28,2018-03-01,CIN,Interim
,0,5.2213C TAX DEFERRED ; DRP,2017-08-14,0.064,2017-06-29,2017-06-30,CLW,Final
,0,DRP,2017-11-15,0.065,2017-09-28,2017-09-29,CLW,Interim
,0,DRP SUSPENDED,2018-02-14,0.065,2017-12-28,2017-12-29,CLW,Interim
,0,DRP SUSPENDED,2018-05-15,0.066,2018-03-28,2018-03-29,CLW,Interim
,0,EST 4.375C; DRP SUSP ENDED,2017-07-28,0.04375,2017-06-27,2017-06-28,CMA,Final
,0,DRP,2017-10-31,0.04525,2017-09-28,2017-09-29,CMA,Interim
,0,DRP,2018-01-31,0.04525,2017-12-28,2017-12-29,CMA,Interim
,0,DRP SUSPENDED,2018-04-27,0.04525,2018-03-28,2018-03-29,CMA,Interim
,0,0.000167C FR@30%; 0. 608726C TAX DEF;DRP,2017-08-18,0.02085,2017-06-29,2017-06-30,CMW,Final
,0,DRP NIL DISCOUNT,2017-11-17,0.02085,2017-09-28,2017-09-29,CMW,Interim
,0,DRP NIL DISCOUNT,2018-02-23,0.02085,2017-12-28,2017-12-29,CMW,Interim
,0,DRP NIL DISCOUNT,2018-05-25,0.02085,2018-03-28,2018-03-29,CMW,Interim
,0,DRP SUSPENDED,2017-08-31,0.14,2017-06-29,2017-06-30,CQR,Final
,0,DRP SUSPENDED,2018-02-28,0.14,2017-12-28,2017-12-29,CQR,Interim
,0,DRP SUSPENDED,2017-11-30,0.0325,2017-09-28,2017-09-29,CRR,Interim
,0,DRP SUSPENDED,2018-02-28,0.0488,2017-12-28,2017-12-29,CRR,Interim
,0,,2018-05-31,0.05,2018-03-28,2018-03-29,CRR,Interim
,1,3.5C FRANKED@30%; DR P NIL DISCOUNT,2017-09-29,0.035,2017-09-04,2017-09-05,CVF,Final
,1,4C FRANKED@30%; DRP  NIL DISCOUNT,2018-04-05,0.04,2018-03-05,2018-03-06,CVF,Interim
,1,2.09C FRANKED @ 30%,2018-03-28,0.0209,2018-03-06,2018-03-07,CYA,Interim
,0.75,1.725C FRANKED@30%;N IL CFI; DRP,2017-11-16,0.023,2017-11-01,2017-11-02,D2O,Interim
